team,player_id,actions,aerial_events,aerial_wins,average_x,average_y,blocks,box_passes,carries,carry_progression_sum,clearances,completed_passes,counterpressures,crosses,dribbled_past,dribbles,duels,duels_won,final_third_passes,fouls,goals,interceptions,interceptions_won,key_passes,minutes,pass_progression_sum,passes,pressures,progressive_carries,progressive_passes,recoveries,shots,successful_dribbles,successful_under_pressure_actions,switches,through_balls,turnovers,under_pressure_actions,xg_sum,player,position,position_group,aerial_dominance_index,pressing_intensity_index,speed_recovery_index,shots_p90,progressive_carries_p90,dribbles_p90,clearances_p90,progressive_passes_p90,key_passes_p90,crosses_p90,interceptions_p90,turnovers_p90,xg_p90,duel_win_rate,pass_completion,aerial_dominance_index_percentile,pressing_intensity_index_percentile,speed_recovery_index_percentile,vaep_total,vaep_offense,vaep_defense,total_touches,xt_total,xa_sum,events_with_360_context,vaep_off_p90,vaep_def_p90,vaep_total_p90,vaep_per_touch,xt_p90,xa_p90,final_player_rating,team_rank,player_evaluation_score,pass_start_x,pass_start_y,line_breaking_pass_rate,pressure_state_rate,distribution_under_pressure,pass_receipt_x,pass_receipt_y,playstyle_cluster,functional_role,spatial_point_count,final_third_share,average_spatial_x,average_spatial_y,Functional role
Argentina,5503,1459,15,5,527.7926213313835,348.8641794944994,4,25,391,1664.8000000000002,1,306,33,7,5,36,15,4,32,11,9,0,0,19,733.9,2713.7000000000003,371,89,56,89,30,34,26,339,11,8,110,359,7.598649225,Lionel Andrés Messi Cuccittini,Right Wing,Attacking Midfield/Wing,0.3333333333333333,10.914293500476905,3.678975337239406,4.16950538220466,6.867420629513558,4.414770404687287,0.12263251124131354,10.914293500476905,2.330017713584957,0.8584275786891947,0.0,13.489576236544488,0.9318414365036108,0.26666666666666666,0.8247978436657682,45.220588235294116,40.294117647058826,59.19117647058824,13.65460428831284,13.04067076058709,0.6139335277257487,1361,1.0731222136471201,2.445524903,1553,1.599210203641965,0.07528821024024715,1.6744984138822123,0.010032773172897016,0.13159967192838373,0.29990086015805967,0.866578973278652,1,0.866578973278652,77.21024258760107,47.97681940700809,0.22371967654986524,0.20215633423180593,0.8666666666666667,74.51611570247934,50.682644628099176,3,Progressive Winger,2130,0.4516431924882629,74.40313197352673,47.11652497318247,Progressive Winger
Argentina,29560,606,16,4,539.2488229978061,231.72130497591263,11,5,106,495.5,3,93,41,4,5,4,18,4,2,16,4,2,0,2,485.23333333333335,378.79999999999995,124,118,17,5,14,11,0,88,3,0,51,101,1.908327433,Julián Álvarez,Center Forward,Forward,0.25,22.257333241739367,2.5966888782029263,2.0402555471594424,3.1531222092464106,0.741911108057979,0.5564333310434842,0.9273888850724737,0.3709555540289895,0.741911108057979,0.3709555540289895,9.459366627739232,0.35395233008861715,0.2222222222222222,0.75,39.11764705882353,90.0,36.911764705882355,6.3374534300819505,5.89596407438512,0.4414893556968309,458,0.21971160399131776,0.058412518,658,1.093570309874275,0.08188646427020975,1.1754567741444848,0.013837234563497709,0.04075161989259861,0.010834223988459159,0.6000298814198114,2,0.6000298814198114,78.3008064516129,34.63629032258064,0.10483870967741936,0.21774193548387097,0.6666666666666666,81.68341968911916,36.5419689119171,1,Target Forward,751,0.49001331557922767,73.7354535710771,35.72071903707524,Target Forward
Argentina,2995,639,1,0,411.8647178591491,250.289754632405,4,16,184,792.0,0,126,15,24,4,29,3,1,2,0,1,2,2,11,304.81666666666666,673.6,164,34,27,25,10,7,18,127,13,1,49,143,0.53383544,Ángel Fabián Di María Hernández,Right Midfield,Central/Wide Midfield,0.0,10.924599486029853,2.9525944556837445,2.066816118978621,7.97200503034611,8.562523921482859,0.0,7.381486139209361,3.247853901252119,7.086226693640986,0.5905188911367488,14.467712832850347,0.15761995603914924,0.3333333333333333,0.7682926829268293,15.0,40.44117647058824,44.11764705882353,3.1278323188016657,2.880570494249696,0.24726182455196977,596,0.648025483917944,0.745090994,669,0.8505156470527835,0.07300638922743927,0.9235220362802228,0.005248040803358499,0.19133564509578968,0.21999515378642898,0.5016025594002769,3,0.5016025594002769,87.11219512195122,51.25426829268293,0.10365853658536585,0.1402439024390244,0.8260869565217391,81.01940298507462,53.39154228855722,3,Progressive Winger,895,0.6145251396648045,81.17418989172067,50.88006090190094,Progressive Winger
Argentina,6909,401,0,0,65.52586562349427,285.4535390843195,0,0,99,189.9,1,123,0,0,0,0,0,0,5,0,0,0,0,0,733.9,6160.1,186,0,4,61,30,0,0,45,8,1,63,56,0.0,Damián Emiliano Martínez,Goalkeeper,Goalkeeper,0.0,0.0,3.678975337239406,0.0,0.49053004496525415,0.0,0.12263251124131354,7.480583185720126,0.0,0.0,0.0,7.725848208202753,0.0,0.0,0.6612903225806451,15.0,2.941176470588235,59.19117647058824,4.8245240371034015,0.017528076248709112,4.806995960854692,370,0.007170817766240611,0.0,481,0.002149512007608421,0.5894939862064619,0.5916434982140703,0.013039254154333518,0.0008793753903279126,0.0,0.2999094004314008,4,0.2999094004314008,11.218817204301073,41.306451612903224,0.5483870967741935,0.12365591397849462,0.5217391304347826,10.121176470588235,40.783529411764704,7,Goalkeeper,566,0.01060070671378092,14.740293402862438,40.67319539391786,Goalkeeper
Argentina,38718,1494,19,8,407.74158517325986,275.59178227085204,7,10,381,1012.2,13,416,40,3,14,6,31,13,44,9,1,5,4,6,601.1166666666667,3317.2,470,107,30,92,25,9,3,103,13,7,64,117,1.050628615,Enzo Fernandez,Center Defensive Midfield,Defensive Midfield,0.42105263157894735,17.5173981756176,3.743033798208889,1.3474921673552,4.491640557850666,0.8983281115701334,1.9463775750686223,13.77436437740871,0.8983281115701334,0.4491640557850667,0.7486067596417778,9.582166523414756,0.15730153661241575,0.41935483870967744,0.8851063829787233,51.911764705882355,76.02941176470588,61.029411764705884,1.471256340504624,1.9055798979534302,-0.43432355744880624,1310,0.302539964092392,0.70932691,1541,0.2853059985290854,-0.06502751019556807,0.22027848833351732,0.0011230964431333007,0.045296692436269076,0.106201383924363,0.11953551158695247,5,0.11953551158695247,58.32638297872341,39.446382978723406,0.20212765957446807,0.08085106382978724,0.7368421052631579,58.77103448275862,38.852413793103445,2,Ball-Winner,2224,0.16052158273381295,58.630212521154455,40.381020873848,Ball-Winner
Argentina,27886,988,16,5,416.5842190943744,156.11988930123317,20,7,253,822.5,5,242,28,2,5,6,21,7,13,1,1,4,3,8,552.35,1176.1000000000001,271,70,26,38,27,7,5,162,1,0,48,174,0.501838363,Alexis Mac Allister,Left Center Midfield,Central/Wide Midfield,0.3125,12.383452521046438,4.399384448266497,1.1405811532542771,4.236444283515887,0.9776409885036661,0.8147008237530551,6.191726260523219,1.3035213180048881,0.32588032950122203,0.6517606590024441,7.821127908029329,0.08176962554539692,0.3333333333333333,0.8929889298892989,42.79411764705882,47.647058823529406,73.08823529411764,1.3808924019394908,1.2590250675857533,0.12186733435373753,858,0.036049911505368584,0.7430547270000001,1040,0.2051457519375718,0.01985708353731579,0.2250028354748876,0.0016094317038921804,0.0058739785199297045,0.1210734596361003,0.1141590429525974,6,0.1141590429525974,71.66309963099631,27.120664206642065,0.1070110701107011,0.15867158671586715,0.7906976744186046,73.02317880794702,26.621523178807948,2,Ball-Winner,1422,0.3888888888888889,69.79635705540448,28.45276960609889,Ball-Winner
Argentina,29201,1027,8,0,415.00537065458224,490.3526306737672,10,4,238,664.4000000000001,8,296,36,6,4,3,21,4,23,2,1,9,4,3,594.0,2296.3,360,72,21,69,17,2,1,91,6,1,73,104,0.485319467,Nahuel Molina Lucero,Right Wing Back,Fullback/Wingback,0.0,12.878787878787879,2.5757575757575757,0.30303030303030304,3.1818181818181817,0.45454545454545453,1.2121212121212122,10.454545454545455,0.45454545454545453,0.9090909090909091,1.3636363636363635,11.06060606060606,0.07353325257575757,0.19047619047619047,0.8222222222222222,15.0,51.17647058823529,36.3235294117647,1.2694152347394265,1.4098171130171977,-0.14040187827777117,897,0.1261043019115778,0.27210495900000004,1050,0.2136086534874542,-0.02127301186026836,0.19233564162718583,0.0014151786340461834,0.01910671241084512,0.041228024090909095,0.10041371688597579,7,0.10041371688597579,59.511944444444445,70.85138888888889,0.19722222222222222,0.09722222222222222,0.6857142857142857,61.901754385964914,69.84982456140351,6,Box-to-Box Runner,1384,0.24927745664739884,60.062319777892654,67.04252923970114,Box-to-Box Runner
Argentina,7797,1767,6,2,446.410918700777,407.33297204351726,8,7,461,1205.7,4,475,42,15,8,13,15,8,38,10,0,10,6,7,634.7333333333333,3559.7,563,111,41,90,34,7,3,169,11,7,104,188,0.570042511,Rodrigo Javier De Paul,Right Defensive Midfield,Defensive Midfield,0.3333333333333333,18.007562230858102,4.820922172040752,0.9925428001260371,5.8134649721667895,1.8432937716626405,0.5671673143577355,12.761264573049049,0.9925428001260371,2.126877428841508,1.4179182858943389,14.746350173301124,0.08082737000840248,0.5333333333333333,0.8436944937833037,45.220588235294116,78.67647058823529,78.82352941176471,1.006516628258396,0.7639442768122535,0.24257235144614242,1598,0.3473731174861688,0.24525113799999998,1832,0.10832105594964207,0.03439477727678734,0.14271583322642942,0.0006298602179339148,0.049254669531176125,0.034774607320659595,0.08139780858483012,8,0.08139780858483012,65.76056838365896,58.065364120781524,0.1847246891651865,0.08703374777975133,0.8163265306122449,64.87304832713754,57.856319702602235,6,Box-to-Box Runner,2538,0.2773837667454689,65.04994533638595,56.042490643467325,Box-to-Box Runner
Argentina,5507,555,9,8,385.07818277420716,69.34737906848544,13,3,122,167.6999999999999,9,153,32,2,0,3,12,5,4,7,0,4,2,2,393.3333333333333,1296.4,182,56,4,25,13,3,1,54,0,1,34,62,0.91222105,Nicolás Alejandro Tagliafico,Left Back,Fullback/Wingback,0.8888888888888888,13.728813559322035,2.9745762711864407,0.6864406779661018,0.9152542372881356,0.6864406779661018,2.0593220338983054,5.720338983050848,0.4576271186440678,0.4576271186440678,0.9152542372881356,7.779661016949153,0.20872854533898308,0.4166666666666667,0.8406593406593407,90.88235294117646,57.647058823529406,44.70588235294118,0.6516024965094402,0.546972861251561,0.10462963525787927,453,0.07848179286255656,0.140677367,579,0.12515480723552666,0.02394067925392153,0.1490954864894482,0.0014384161070848571,0.017957698366856165,0.03218888905932203,0.0785708077502208,9,0.0785708077502208,63.4521978021978,8.49945054945055,0.23076923076923078,0.12637362637362637,0.782608695652174,69.31086956521739,10.368115942028986,4,Wide Creator,742,0.27628032345013476,62.2626082089597,13.559101808556974,Wide Creator
Argentina,19597,695,18,10,409.8304413891198,62.84540420888025,14,4,168,577.2,7,170,17,14,4,5,19,8,10,9,0,3,2,5,397.4833333333333,1297.8999999999999,217,52,20,31,18,2,1,74,5,1,60,86,0.076122072,Marcos Javier Acuña,Left Back,Fullback/Wingback,0.5555555555555556,12.453352341817268,4.075642584594743,0.4528491760660825,4.528491760660825,1.1321229401652062,1.5849721162312886,7.019162229024278,1.1321229401652062,3.1699442324625773,0.6792737640991238,13.585475281982475,0.017235908792821504,0.42105263157894735,0.783410138248848,68.6029411764706,48.23529411764706,67.79411764705883,0.2434391590359155,0.30931922295712866,-0.06588006392121315,594,0.24586056089672104,0.306373818,736,0.07003747762876829,-0.01491686633295111,0.055120611295817176,0.00040983023406719783,0.055668876214612514,0.06937056552475997,0.038817029961051255,10,0.038817029961051255,67.58617511520738,9.761751152073733,0.17050691244239632,0.11059907834101383,0.6666666666666666,70.96984126984127,11.287301587301588,4,Attacking Wingback,921,0.36047774158523344,65.60816220213209,15.278130922662909,Attacking Wingback
